episode,steps,reward,epsilon,max_q,avg100,lr
285,503,310.000,0.863449,7.45871,329.100,0.00021416
286,519,320.000,0.862956,8.01918,330.700,0.00021402
287,413,280.000,0.862564,6.77737,328.600,0.00021391
288,597,390.000,0.861996,7.70456,329.700,0.00021375
289,537,350.000,0.861486,7.91993,330.400,0.00021361
290,521,370.000,0.860991,7.72124,331.800,0.00021347
291,513,270.000,0.860504,7.24868,331.800,0.00021334
292,621,330.000,0.859914,7.01292,333.100,0.00021317
293,549,410.000,0.859392,7.52955,335.000,0.00021302
294,485,280.000,0.858932,8.34934,335.400,0.00021289
295,781,670.000,0.858190,7.13778,330.200,0.00021269
296,551,350.000,0.857666,7.36054,331.100,0.00021254
297,513,290.000,0.857179,7.17446,331.100,0.00021240
298,533,300.000,0.856673,8.39514,332.500,0.00021226
299,515,290.000,0.856183,7.70752,333.000,0.00021213
300,481,330.000,0.855726,8.00914,334.300,0.00021200
301,513,330.000,0.855239,8.24008,335.700,0.00021186
302,471,270.000,0.854792,8.06870,334.500,0.00021174
303,503,300.000,0.854314,6.95950,334.700,0.00021160
304,657,310.000,0.853690,8.28946,335.700,0.00021143
305,469,260.000,0.853244,8.11469,335.500,0.00021131
306,487,230.000,0.852781,8.14315,334.900,0.00021118
307,599,510.000,0.852212,7.78890,338.100,0.00021102
308,513,400.000,0.851725,7.61351,339.600,0.00021088
309,481,240.000,0.851268,8.05727,337.900,0.00021076
310,469,280.000,0.850822,7.28414,337.600,0.00021063
311,473,260.000,0.850373,6.93311,337.100,0.00021051
312,365,200.000,0.850026,7.73212,336.000,0.00021041
313,457,330.000,0.849592,8.04312,336.000,0.00021029
314,459,280.000,0.849156,7.61072,335.100,0.00021017
315,717,830.000,0.848475,6.71968,335.900,0.00020998
316,509,330.000,0.847991,8.46407,335.000,0.00020985
317,475,230.000,0.847540,8.45502,335.000,0.00020973
318,481,290.000,0.847083,8.25947,335.500,0.00020960
319,481,270.000,0.846626,8.88355,336.100,0.00020948
320,509,270.000,0.846143,7.89936,335.900,0.00020934
321,369,220.000,0.845792,8.01768,329.500,0.00020924
322,489,360.000,0.845328,7.92989,331.600,0.00020912
323,509,290.000,0.844844,8.91922,332.200,0.00020898
324,477,270.000,0.844391,7.98846,331.200,0.00020886
325,469,240.000,0.843945,8.68669,332.000,0.00020874
326,487,290.000,0.843483,8.84961,330.700,0.00020861
327,475,280.000,0.843032,8.23230,330.100,0.00020849
328,947,880.000,0.842132,8.08350,335.200,0.00020824
329,433,310.000,0.841720,8.33074,336.700,0.00020813
330,585,370.000,0.841165,7.68595,334.300,0.00020797
331,935,1120.000,0.840276,8.45223,342.600,0.00020773
332,381,210.000,0.839915,8.02156,342.000,0.00020763
333,359,150.000,0.839573,7.34324,340.500,0.00020754
334,783,600.000,0.838830,8.35793,344.400,0.00020734
335,481,350.000,0.838373,7.76911,345.000,0.00020721
336,897,690.000,0.837521,8.45833,349.500,0.00020698
337,491,310.000,0.837054,8.95463,350.500,0.00020685
338,457,150.000,0.836620,8.13055,349.800,0.00020673
339,547,590.000,0.836100,9.14464,352.500,0.00020659
340,457,300.000,0.835666,8.05415,354.000,0.00020648
341,477,270.000,0.835213,8.14212,354.200,0.00020635
342,443,190.000,0.834792,8.32591,352.800,0.00020624
343,633,600.000,0.834191,8.33507,355.200,0.00020608
344,629,440.000,0.833593,9.00741,355.800,0.00020591
345,525,330.000,0.833094,8.50038,356.400,0.00020578
346,579,380.000,0.832544,8.97677,357.700,0.00020563
347,341,160.000,0.832221,8.35711,355.000,0.00020554
348,495,380.000,0.831750,8.64489,355.600,0.00020541
349,995,2350.000,0.830805,8.37932,376.500,0.00020516
350,549,360.000,0.830283,8.31801,370.500,0.00020502
351,445,290.000,0.829861,8.32801,371.000,0.00020490
352,497,340.000,0.829389,8.57258,370.600,0.00020478
353,785,710.000,0.828643,8.86596,374.500,0.00020458
354,435,310.000,0.828230,8.75413,366.500,0.00020446
355,597,670.000,0.827662,8.51857,370.100,0.00020431
356,399,260.000,0.827283,8.47436,370.200,0.00020421
357,487,230.000,0.826821,8.40784,368.300,0.00020409
